"","name","affiliation","id_type","author_id"
"359","Baik, Yeonsoo","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-7016-0438"
"360","Dowdy, David W.","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-0481-7475"
"361","Cui, Minming","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, Maryland, USA","ORCID","0000-0002-8985-0372"
"362","Gnanadesikan, Anand","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, Maryland, USA","ORCID","0000-0001-5784-1116"
"363","Plunkett, Evan C.","Physics and Astronomy, Johns Hopkins University","dataverse_id","184"
"364","Zhang, Qingyang","Materials Science and Engineering, Johns Hopkins University","dataverse_id","185"
"365","Katz, Howard E.","Materials Science and Engineering and Dept. of Chemistry, Johns Hopkins University","dataverse_id","186"
"366","Reich, Daniel H.","Physics and Astronomy, Johns Hopkins University","dataverse_id","187"
"367","Marlin-Bennett, Renée","Department of Political Science, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-4341-0064"
"368","Jackson, Susan T.","Department of Economic History and International Relations, Stockholm University, Stockholm, SE","ORCID","0000-0003-4266-7973"
"369","Zhang, Qingyang","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","188"
"370","Barrett, Brandon","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","189"
"371","Lee, Taein","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-8176-9759"
"372","Mukhopadhyaya, Tushita","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-8053-9668"
"373","Lu, Chengchangfeng","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","190"
"374","Plunkett, Evan C.","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","191"
"375","Kale, Tejaswini","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-7246-745X"
"376","Chi, Chen","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","192"
"377","Livi, Kenneth J.T.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-7728-5460"
"378","McGuiggan, Patricia","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","193"
"379","Reich, Daniel H.","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-6313-9884"
"380","Thon, Susanna","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-1003-2650"
"381","Bragg, Arthur E.","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3376-5494"
"382","Katz, Howard E.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3190-2475"
"383","Wagner, Justine","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA; Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","194"
"384","Song, Yunjia","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA; Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","195"
"385","Shapiro, Jenna","Department of Psychiatry and Behavioral Health, Ann and Robert H. Lurie Children's Hospital of Chicago, Chicago, IL, USA; Department of Psychiatry and Behavioral Sciences, Northwestern University, Chicago, IL, USA","ORCID","0000-0003-2369-540X"
"386","Katz, Howard E.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA; Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3190-2475"
"387","Han, Jinfeng","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-6140-4522"
"388","Chiu, Arlene","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-7009-4984"
"389","Ganley, Connor","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-3851-3218"
"390","McGuiggan, Patty","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","196"
"391","Thon, Susanna M.","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-1003-2650"
"392","Clancy, Paulette","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-0468-6420"
"393","Katz, Howard E.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3190-2475"
"394","Han, Jinfeng","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","197"
"395","Ganley, Connor","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","198"
"396","Hu, Qin","Department of Polymer Science and Engineering, University of Massachusetts, Amherst, MA, USA; Materials Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA, USA","dataverse_id","199"
"397","Zhao, Xingang","Department of Materials Science and Engineering and Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","200"
"398","Clancy, Paulette","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-0468-6420"
"399","Russell, Thomas P.","Department of Polymer Science and Engineering, University of Massachusetts, Amherst, MA, USA; Materials Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA, USA","dataverse_id","201"
"400","Katz, Howard E.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3190-2475"
"401","Han, Jinfeng","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-6140-4522"
"402","Tiernan, Emma","Department of Mechanical and Aerospace Engineering, University of Virginia, Charlottesville, VA, USA","dataverse_id","202"
"403","Lee, Taein","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-8176-9759"
"404","Chiu, Arlene","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-7009-4984"
"405","McGuiggan, Patricia","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","203"
"406","Adams, Nicholas","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","204"
"407","Timko, John A.","Department of Mechanical and Aerospace Engineering, University of Virginia, Charlottesville, VA, USA","dataverse_id","205"
"408","Hopkins, Patrick E.","Department of Mechanical and Aerospace Engineering, University of Virginia, Charlottesville, VA, USA","dataverse_id","206"
"409","Thon, Susanna M.","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-1003-2650"
"410","Tovar, John D.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-9650-2210"
"411","Katz, Howard E.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3190-2475"
"412","Beauchene, Christine","Neuromedical Control Systems Laboratory, Institute for Computational Medicine, Department                                         of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-0787-4520"
"413","Hinault, Thomas","U1077 INSERM-EPHE-UNICAEN, Caen, France","ORCID","0000-0001-9939-0640"
"414","Sarma, Sridevi V.","Institute for Computational Medicine, Biomedical Engineering Department, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-4817-6625"
"415","Courtney, Susan M.","Department of Psychological and Brain Sciences, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-1469-8879"
"416","Han, Jinfeng","Department of Materials Science and Engineering and Department of Chemistry, Johns Hopkins University, Baltimore, Maryland, USA","dataverse_id","207"
"417","Song, Yunjia","Department of Materials Science and Engineering and Department of Chemistry, Johns Hopkins University, Baltimore, Maryland, USA","dataverse_id","208"
"418","Chen, Nan","Department of Materials Science and Engineering and Department of Chemistry, Johns Hopkins University, Baltimore, Maryland, USA","dataverse_id","209"
"419","Chiu, Arlene",NA,"ORCID","0000-0002-7009-4984"
"420","McGuiggan, Patricia","Department of Materials Science and Engineering and Department of Chemistry, Johns Hopkins University, Baltimore, Maryland, USA","dataverse_id","210"
"421","Adams, Nicholas","Department of Materials Science and Engineering and Department of Chemistry, Johns Hopkins University, Baltimore, Maryland, USA","dataverse_id","211"
"422","Thon, Susanna M.","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, Maryland, USA","ORCID","0000-0002-1003-2650"
"423","Tovar, John D.","Department of Materials Science and Engineering and Department of Chemistry, Johns Hopkins University, Baltimore, Maryland, USA","ORCID","0000-0002-9650-2210"
"424","Katz, Howard E.","Department of Materials Science and Engineering and Department of Chemistry, Johns Hopkins University, Baltimore, Maryland, USA","ORCID","0000-0002-3190-2475"
"425","Fan, Xinhao","Zanvyl Krieger Mind/Brain Institute, Johns Hopkins University, Baltimore, Maryland, USA","ORCID","0000-0002-0773-7473"
"426","Elsey, Jacob","Zanvyl Krieger Mind/Brain Institute, Johns Hopkins University, Baltimore, Maryland, USA","ORCID","0000-0003-0936-0865"
"427","Wyngaard, Aurelien","Zanvyl Krieger Mind/Brain Institute, Johns Hopkins University, Baltimore, Maryland, USA","dataverse_id","212"
"428","Sampson, Aaron","Zanvyl Krieger Mind/Brain Institute, Johns Hopkins University, Baltimore, Maryland, USA","ORCID","0000-0001-7973-1647"
"429","Yang, You-Ping","Zanvyl Krieger Mind/Brain Institute, Johns Hopkins University, Baltimore, Maryland, USA","ORCID","0000-0003-3913-8982"
"430","Emeric, Erik","Zanvyl Krieger Mind/Brain Institute, Johns Hopkins University, Baltimore, Maryland, USA","dataverse_id","213"
"431","Glickman, Moshe","Department of Psychology, Tel Aviv University, Tel Aviv, Israel","dataverse_id","214"
"432","Usher, Marius","Department of Psychology, Tel Aviv University, Tel Aviv, Israel","ORCID","0000-0001-8041-9060"
"433","Levy, Dino","Department of Economics, Tel Aviv University, Tel Aviv, Israel","ORCID","0000-0003-4290-7762"
"434","Stuphorn, Veit","Zanvyl Krieger Mind/Brain Institute, Johns Hopkins University, Baltimore, Maryland, USA","ORCID","0000-0003-1117-9993"
"435","Niebur, Ernst","Zanvyl Krieger Mind/Brain Institute, Johns Hopkins University, Baltimore, Maryland, USA","dataverse_id","215"
"436","Mukhopadhyaya, Tushita","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-8053-9668"
"437","Lee,  Taein D.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-8176-9759"
"438","Ganley, Connor","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-3851-3218"
"439","Tanwar, Swati","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-0430-1922"
"440","Raj, Piyush","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-1488-9475"
"441","Li, Lulin","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","216"
"442","Song, Yunjia","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","217"
"443","Clancy, Paulette","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-0468-6420"
"444","Barman, Ishan","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-0800-0825"
"445","Thon, Susanna","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-1003-2650"
"446","Katz, Howard E.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3190-2475"
"447","Lee, Taein D.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-8176-9759"
"448","Panda, Sayak","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-9724-6725"
"449","Hall, Grant","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","ORCID","0009-0006-5089-717X"
"450","Song, Yunjia","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","218"
"451","Tovar, John D.","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-9650-2210"
"452","Katz, Howard E.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3190-2475"
"453","Cohen, Gregory S.","Department of Pathology, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","219"
"454","Jayaraman, Sahana","Department of Pathology, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-3413-2530"
"455","Larman, H. Benjamin","Department of Pathology, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","220"
"456","Krummey, Scott M.","Department of Pathology, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-7504-9162"
"457","Agamaite, James A.","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","221"
"458","Chang, Chia-Jung","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","222"
"459","Osmanski, Michael S.","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-3458-9215"
"460","Wang, Xiaoqin","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3999-0772"
"461","Jani, Vivek P.","Department of of Cardiology, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3811-4973"
"462","Fenwick, Axel","Department of of Cardiology, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-8296-537X"
"463","Sharp, Thomas","Cardiovascular Center of Excellence, Louisiana State University Health Science Center, New Orleans, Louisiana, USA","ORCID","0000-0001-8706-9825"
"464","Doiron, Jake","Cardiovascular Center of Excellence, Louisiana State University Health Science Center, New Orleans, Louisiana, USA","ORCID","0000-0002-4584-4819"
"465","LaPenna, Kyle B.","Cardiovascular Center of Excellence, Louisiana State University Health Science Center, New Orleans, Louisiana, USA","ORCID","0000-0003-0470-0138"
"466","Goodchild, Traci","Smidt Heart Institute, Cedars-Sinai Medical Center, Los Angeles, CA, USA","ORCID","0000-0001-9234-2806"
"467","Jiang, Nan","Division of Cardiology, University of Texas Southwestern Medical Center, Dallas, TX, USA","dataverse_id","223"
"468","Gillette, Thomas","Division of Cardiology, University of Texas Southwestern Medical Center, Dallas, TX, USA","ORCID","0000-0002-7617-3544"
"469","Hill, Joseph A.","Division of Cardiology, University of Texas Southwestern Medical Center, Dallas, TX, USA","ORCID","0000-0002-5379-1614"
"470","Lefer, David","Smidt Heart Institute, Cedars-Sinai Medical Center, Los Angeles, CA, USA","ORCID","0000-0003-2293-7278"
"471","Mishra, Sumita","Department of of Cardiology, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-6455-4075"
"472","Kass, David A.","Deapartment of Cardiology, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-1596-2299"
"473","Williford, Jonathan R.","Netherlands Institute of Neuroscience, Amsterdam, Netherlands","ORCID","0000-0002-9178-2647"
"474","von der Heydt, Rüdiger","Department of Neuroscience, Zanvyl Krieger Mind/Brain Institute, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-8741-813X"
"475","Oakes, Allison H.","Johns Hopkins University Bloomberg School of Public Health","dataverse_id","224"
"476","Chang, Hsien-Yen","Johns Hopkins University Bloomberg School of Public Health","dataverse_id","225"
"477","Segal, Jodi B.","Johns Hopkins University School of Medicine","dataverse_id","226"
"478","Dowdy, David W.","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-0481-7475"
"479","Robsky, Katherine","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-7789-5779"
"480","Mullany, Luke C.","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-4668-9803"
"481","Lama, Tsering P.","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-6054-4075"
"482","Katz, Joanne","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-5997-7823"
"483","Tielsch, James M.","Department of Global Health, George Washington University, Washington, DC, USA","ORCID","0000-0002-1151-060X"
"484","Khatry, Subarna K.","Nepal Nutrition Intervention Project-Sarlahi, Kathmandu, Nepal","dataverse_id","227"
"485","Neitzel, Amanda","Center for Research and Reform in Education, School of Education, Johns Hopkins University, Baltimore, Maryland, USA","ORCID","0000-0002-4676-9320"
"486","Lake, Cynthia","Center for Research and Reform in Education, School of Education, Johns Hopkins University, Baltimore, Maryland, USA","dataverse_id","228"
"487","Pellegrini, Marta","Department of Education, Languages, Intercultures, Literatures and Psychology, University of Florence, Florence, Italy","ORCID","0000-0002-9806-3231"
"488","Slavin, Robert","Center for Research and Reform in Education, School of Education, Johns Hopkins University, Baltimore, Maryland, USA","dataverse_id","229"
"489","Carter, Anabel W.","Johns Hopkins University Department of Earth and Planetary Sciences","dataverse_id","230"
"490","Zaitchik, Benjamin F.","Johns Hopkins University Department of Earth and Planetary Sciences","dataverse_id","231"
"491","Gohlke, Julia M.","Virginia Polytechnic Institute and State University Department of Population Health Sciences","dataverse_id","232"
"492","Wang, Suwei","Virginia Polytechnic Institute and State University Department of Population Health Sciences","dataverse_id","233"
"493","Richardson, Molly B.","University of Alabama at Birmingham Division of Preventive Medicine","dataverse_id","234"
"494","Brenner, Dana C.","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-2562-5683"
"495","Passey, Benjamin H.","Department of Earth and Environmental Sciences, University of Michigan, Ann Arbor, MI, USA","ORCID","0000-0002-3483-4148"
"496","Holder, Robert M.","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-1119-6905"
"497","Viete, Daniel R.","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-5495-9370"
"498","Wagner, Justine","Materials Science and Engineering, Johns Hopkins University","dataverse_id","235"
"499","Jang, Hyun June","Materials Science and Engineering, Johns Hopkins University","dataverse_id","236"
"500","Han, Jinfeng","Materials Science and Engineering, Johns Hopkins University","dataverse_id","237"
"501","Katz, Howard E.","Materials Science and Engineering; Chemistry, Johns Hopkins University","dataverse_id","238"
"502","Segal, Jodi B.","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","239"
"503","Huang, Jin","Department of Medicine, St Elizabeth Youngstown Hospital, Youngstown, OH, USA","dataverse_id","240"
"504","Zhu, Jiafeng","Department of Biostatistics, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","241"
"505","Varadhan, Ravi","Department of Biostatistics, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-8434-1034"
"506","Segal, Jodi B.","Johns Hopkins University School of Medicine","dataverse_id","242"
"507","Hutfless, Susan","Johns Hopkins University School of Medicine","dataverse_id","243"
"508","Sen, Aditi","Formally Johns Hopkins University","dataverse_id","244"
"509","Appel, Lawrence J.","Division of General Internal Medicine, Johns Hopkins School of Medicine, Baltimore, MD, USA; Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, USA; Welch Center for Prevention, Epidemiology, and Clinical Research, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","245"
"510","Michos, Erin D.","Division of Cardiology, Johns Hopkins School of Medicine, Baltimore, MD, USA; Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, USA; Welch Center for Prevention, Epidemiology, and Clinical Research, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","246"
"511","Miller III, Edgar R.","Division of General Internal Medicine, Johns Hopkins School of Medicine, Baltimore, MD, USA; Welch Center for Prevention, Epidemiology, and Clinical Research, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","247"
"512","Gao, Cong","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-6798-8381"
"513","Killeen, Benjamin","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-2511-7929"
"514","Hu, Yicheng","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","248"
"515","Grupp, Robert","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-3386-5839"
"516","Taylor, Russell","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-6272-1100"
"517","Armand, Mehran","Department of Orthopaedic Surgery, Johns Hopkins Medicine, Baltimore, MD, USA","ORCID","0000-0003-1028-8303"
"518","Unberath, Mathias","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-0055-9950"
"519","Chen, Nan","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","249"
"520","Wagner, Justine S.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-4647-0449"
"521","Katz, Howard E.","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3190-2475"
"522","Lowetz, Christopher","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","ORCID","0009-0008-1599-3419"
"523","Shepard, Grant","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","ORCID","0009-0000-3215-8716"
"524","Zhang, Qian","Department of Geography and Environmental Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","250"
"525","Harman, Ciaran J.","Department of Geography and Environmental Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-3185-002X"
"526","Ball, William P.","Department of Geography and Environmental Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","251"
"527","Sutton, Erin E.","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-3586-2383"
"528","Demir, Alican","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","252"
"529","Stamper, Sarah A.","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","253"
"530","Fortune, Eric S.","Department of Biological Sciences, New Jersey Institute of Technology, Newark, NJ","dataverse_id","254"
"531","Cowan, Noah J.","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-2502-3770"
"532","Mullany, Luke C","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-4668-9803"
"533","van Boetzelaer, Elburg W","International Rescue Committee, Panthou, South Sudan","ORCID","0000-0002-1168-8491"
"534","Ho, Lara S","International Rescue Committee","dataverse_id","255"
"535","Gutman, Julie","Center for Disease Control, Atlanta, GA, USA","ORCID","0000-0001-6769-7322"
"536","Steinhardt, Laura","Center for Disease Control, Atlanta, GA, USA","ORCID","0000-0003-0540-9940"
"537","Ngoy, Pascal","International Rescue Committee, Kalemie, Democratic Republic of the Congo","dataverse_id","256"
"538","Barbera-Lainez, Yolanda","International Rescue Committee, New York, New York, USA","dataverse_id","257"
"539","Witcoff, Alison","International Rescue Committee, Kalemie, Democratic Republic of the Congo","dataverse_id","258"
"540","Harvey, Steven A","Department of International Health, Johns Hopkins University, Baltimore, Maryland, USA","ORCID","0000-0001-6936-0213"
"541","Coderre, Emily L.","Johns Hopkins University, Department of Neurology","dataverse_id","259"
"542","Chernenok, Mariya","Johns Hopkins University, Department of Neurology","dataverse_id","260"
"543","Bosley, Laura","Johns Hopkins University, Department of Neurology","dataverse_id","261"
"544","Gordon, Barry","Johns Hopkins University, Department of Neurology","dataverse_id","262"
"545","Ledoux, Kerry","Johns Hopkins University, Department of Neurology","dataverse_id","263"
"546","KC, Angela","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","264"
"547","Shrestha, Binod","PoSHAN Study Team, Johns Hopkins University, Kathmandu, Nepal","dataverse_id","265"
"548","Wu, Lee","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","266"
"549","Manohar, Swetha","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-4042-8952"
"550","Klemm, Rolf","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","267"
"551","Thorne-Lyman, Andrew","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-5917-4126"
"552","West Jr., Keith P.","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-9458-362X"
"553","Turnbull, Alison E.","Division of Pulmonary and Critical Care Medicine, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-1564-6547"
"554","Ning, Xuejuan","Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, USA","ORCID","0000-0002-8523-0483"
"555","Rao, Anirudh","Medstar Washington Hospital, Washington, DC, USA","dataverse_id","268"
"556","Tao, Jessica J.","Memorial Sloan Kettering Cancer Center, New York, NY, USA","dataverse_id","269"
"557","Needham, Dale M.","Division of Pulmonary and Critical Care Medicine, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","270"
"558","Delwiche, Kyle","Massachusetts Institute of Technology and Harvard University","dataverse_id","271"
"559","Gu, Junyao","Johns Hopkins University and Duke University","dataverse_id","272"
"560","Hemond, Harold","Massachusetts Institute of Technology","dataverse_id","273"
"561","Preheim, Sarah","Johns Hopkins University","dataverse_id","274"
"562","Sutton, Erin E.","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-3586-2383"
"563","Fuerst, Bernhard","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","275"
"564","Ghotbi, Reza","Department of Vascular Surgery, HELIOS Klinikum Munchen West, Munich, Germany","dataverse_id","276"
"565","Cowan, Noah J.","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-2502-3770"
"566","Navab, Nassir","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-6032-5611"
"567","Yang, Christopher S.","Department of Neuroscience, Johns Hopkins University, Baltimore, MD 21218","ORCID","0000-0002-7645-3861"
"568","Cowan, Noah J.","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD 21218","ORCID","0000-0003-2502-3770"
"569","Haith, Adrian M.","Department of Neurology, Johns Hopkins University, Baltimore, MD 21218","ORCID","0000-0002-5658-8654"
"570","Blair-Stanek, Andrew","Johns Hopkins University, Computer Science; University of Maryland, School of Law","dataverse_id","277"
"571","Holzenberger, Nils","Johns Hopkins University, Computer Science","dataverse_id","278"
"572","Van Durme, Benjamin","Johns Hopkins University, Computer Science","dataverse_id","279"
"573","Neitzel, Amanda J.","Center for Research and Reform in Education, School of Education, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-4676-9320"
"574","Cheung, Alan Chi-keung","Department of Educational Administration and Policy, Faculty of Education, The Chinese University of Hong Kong, Hong Kong, China","ORCID","0000-0002-9013-1586"
"575","Xie, Chen","Institute of International and Comparative Education, Faculty of Education, East China Normal University, Shanghai, China","ORCID","0000-0001-6124-1420"
"576","Zhuang, Tengteng","Department of Educational Administration and Policy, Faculty of Education, The Chinese University of Hong Kong, Hong Kong, China","ORCID","0000-0003-3940-4216"
"577","Slavin, Robert E.","Center for Research and Reform in Education, School of Education, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-3117-7477"
"578","Bu, Fanjun","Department of Computer Science Cornell University Ithaca, NY, USA","ORCID","0000-0002-9953-7347"
