"","software_id","dataset_id","sw_license_id","title","description","repo_link"
"71","Javascript","doi.org/10.7281/T1/D06YVM",6,"Concrete Tools","Concrete is a data serialization format for NLP. It replaces ad-hoc XML, CSV, or programming language-specific serialization as a way of storing document- and sentence- level annotations.
<br><br>
This metadata block describes Concrete's associated tools, concrete-java, concrete-js, concrete-python. To download the code, see the individual package descriptions under ""Other Related Software"" below for actual download locations.","https://github.com/hltcoe/"
"72","Python","doi.org/10.7281/T1/D06YVM",6,"Concrete Tools","Concrete is a data serialization format for NLP. It replaces ad-hoc XML, CSV, or programming language-specific serialization as a way of storing document- and sentence- level annotations.
<br><br>
This metadata block describes Concrete's associated tools, concrete-java, concrete-js, concrete-python. To download the code, see the individual package descriptions under ""Other Related Software"" below for actual download locations.","https://github.com/hltcoe/"
"73","MATLAB","doi.org/10.7281/T1/UBSZF1",5,NA,"MATLAB scripts associated with this dataset to reproduce the plots from the related publication.",NA
"74","MATLAB","doi.org/10.7281/T1/A9NKJ7",3,"Code associated with the publication: Feedback regulation of crystal growth by buffering monomer concentration","All the custom MATLAB code used to analyze the fluorescence micrograph images.",NA
"75","Fortran","doi.org/10.7281/T1/HWU9TZ",7,"Code associated with the publication: Oxidized sulfur species in slab fluids as a source of enriched sulfur isotope signatures in arcs.","The EQ3 executable files for use on Mac are provided in the “Thermodynamic databases” subfolders at each appropriate set of P-T conditions. This code calculates aqueous speciation and solubility. To be run with an input file in the same directory. <p>This code is also found on the Deep Earth Water model website (<a href=""http://www.dewcommunity.org/resources.html"">http://www.dewcommunity.org/resources.html</a>), and is part of the EQ3/6 Software Package developed by Wolery (1992) (<a href=""https://www.osti.gov/biblio/138894"" >https://www.osti.gov/biblio/138894</a>).</p>",NA
"76","Python","doi.org/10.7281/T1/CGBG4F",3,"Code associated with the publication: Accurate, Precise, and Physically Self-consistent Ages and Metallicities for 400,000 Solar Neighborhood Subgiant Branch Stars","The Jupyter Notebook “IsochronesSubgiants.ipynb”, available at the github repository https://github.com/DavidMoiseNataf/Subgiants (commit 
075842a), is written to read through our input files, for which the measured data of each star corresponds to a row in the table, apply our data inclusion query, and then submit the data for the star to the isochrones package (developed by Tim Morton) for processing. The posterior files are then saved.

The intended audience is other astronomers who wish to make use of the isochrones package, and would like a template.","https://github.com/DavidMoiseNataf/Subgiants"
"77","MATLAB","doi.org/10.7281/T1/F5PD42",3,"Code associated with the publication: Sensorimotor adaptation to destabilizing dynamics in weakly electric fish","This project includes datasets and code pertinent to the study of whether the weakly electric fish can adapt to novel destabilizing dynamics in feedback. The code contain MATLAB scripts for the analysis of the experimental data from the novel study on weakly electric fish and for the generation of figures in the Yang et al. 2024 paper accepted at Current Biology.",NA
"78","Python","doi.org/10.7281/T1/GTUUUG",3,"Code associated with: force spectroscopy of CAG repeat RNA, Christian Kaiser and Sarah Woodson labs","Custom python scripts for processing force-extension recordings associated with this dataset.",NA
"79","Shell script","doi.org/10.7281/T1/GTUUUG",3,"Code associated with: force spectroscopy of CAG repeat RNA, Christian Kaiser and Sarah Woodson labs","Custom python scripts for processing force-extension recordings associated with this dataset.",NA
"80","Python","doi.org/10.7281/T1/IRL0IE",3,"Code associated with the publication: Plug-and-play protein biosensors using aptamer-regulated in vitro transcription","Simulations for ARTIST biosensor reactions, Kd,apparent determination, sensitivity and LOD analysis.","https://github.com/hlee260/ARTIST-Source-Data"
"81","Python","doi.org/10.7281/T1/JDHWJN",3,"Code associated with the publication: Optimized periphery-core interface increases fitness of the Bacillus subtilis glmS ribozyme","Custom Python scripts for alignment and processing Illumina Hi-Seq data of RNA sequence variants, mutation mapping, and visualization of data.
Scripts run in original environment.
Custom Python and PyMOL scripts for projecting self-cleavage activities and observed rate constants as a heatmap on the Bsu ribozyme.",NA
"82","Python","doi.org/10.7281/T1/IZMSNX",3,"Code associated with the publication: Diffusion, density, and defects on spheres","Fig2_short_time_res.zip and Fig3-9_main_data.zip contain ad hoc plotting scripts which accompany the data needed to reproduce the figures from the paper. Simulation.zip contains example scripts used to run the Hoomd-Blue and Lammps simulations mentioned in the paper. Analysis.zip contains a mature package of analysis code used by both simulation and plotting scripts. The package is developable in anaconda, but not easily installed otherwise.",NA
"83","MATLAB","doi.org/10.7281/T1/WYN7FI",3,"Code associated with the publication: Programming gel automata shapes using DNA instructions","The code archive contains software for processing the images to analyze the size change and shape change of gel automata. The software is developed for users working on gel automata images. The software is mature and can integrate with new functions if needed.","https://github.com/charliecharlie29/Programming-gel-automata-shapes-using-DNA-instructions"
"84","Python","doi.org/10.7281/T1/WYN7FI",3,"Code associated with the publication: Programming gel automata shapes using DNA instructions","The code archive contains software for processing the images to analyze the size change and shape change of gel automata. The software is developed for users working on gel automata images. The software is mature and can integrate with new functions if needed.","https://github.com/charliecharlie29/Programming-gel-automata-shapes-using-DNA-instructions"
"85","Python","doi.org/10.7281/T1/V4BATB",3,"Python code associated with “Limiting the Broadcast Range of a Secreting Cell during Intercellular Signaling Using Protease-Mediated Degradation”","Software included here is used to analyze data and produce graphs for the associated publication.",NA
"86","Python","doi.org/10.7281/T1/OTISGL",3,"Code associated with: Modeling pollinator behavior through survival analysis.","Juypter Notebook for data analysis work on Native Bee Monitoring Project","https://github.com/puckybreg/Native-Bee-Thesis"
"87","MATLAB","doi.org/10.7281/T1/THLC8N",3,"Code associated with publication:  Control and recalibration of path integration in place cells using optic flow","The code contains a MATLAB script for the analysis of the experimental data, reproduction of the publication figures and quantifications of the publication “Control and recalibration of path integration in place cells using optic flow”, and simulations related to the computational model included in the publication.",NA
"88","R","doi.org/10.7281/T1/XOL4BR",3,"Code associated with the publication: Does chatting with chatbots improve language learning performance? A meta-analysis of chatbot-assisted language learning.","The project includes the R script for data analysis and reproduction of tables and figures in the published manuscript.",NA
"89","Mathematica","doi.org/10.7281/T1/KOTDPY",3,"Code associated with the publication: Nonstationarity in the global terrestrial water cycle and its interlinkages in the Anthropocene","Data associated with the publication: Nonstationarity in the global terrestrial water cycle and its interlinkages in the Anthropocene",NA
"90","Python","doi.org/10.7281/T1/KOTDPY",3,"Code associated with the publication: Nonstationarity in the global terrestrial water cycle and its interlinkages in the Anthropocene","Data associated with the publication: Nonstationarity in the global terrestrial water cycle and its interlinkages in the Anthropocene",NA
"91","Python","doi.org/10.7281/T1/RE5GOK",3,"Software for the Analysis and Continuous Monitoring of Electrochemical Systems (SACMES)","This is a copy of scripts from https://github.com/netzlab/SACMES (commit: 9648ea9). Each script analyzes data from specific electrochemical techniques in real time and exports the data into space delimited txt files. Each script runs off of an multithreaded animation module known as ElectrochemicalAnimation and can analyze any number of electrodes simultaneously.","https://github.com/netzlab/SACMES"
"92","Python","doi.org/10.7281/T1/RDLYMJ",3,"Code associated with the publication: SARS-CoV-2 variants from long-term, persistently infected immunocompromised patients have altered syncytia formation, temperature-dependent replication, and escape neutralization with convalescent plasma","3 scripts were used to analyze and visualize genomic diversity of viruses used in this study. The vcf2matrix.py extracts the reference and alternate allele frequency calls from VCF filtered for site quality and depth converting the verbose VCF into a simple matrix. The ratio.py script simply iterates over each site’s reference and alternate allele quantification and calculates a ratio of these values. The variant_plot.R script takes the ratio.py matrix and plots the frequency ratios represented as a heatmap. All three scripts are intended for specialized use in this manuscript but can be adopted to any VCF if used in the same order as described above.","https://github.com/Pekosz-Lab/Wouters_2024_CHLA"
"93","R","doi.org/10.7281/T1/RDLYMJ",3,"Code associated with the publication: SARS-CoV-2 variants from long-term, persistently infected immunocompromised patients have altered syncytia formation, temperature-dependent replication, and escape neutralization with convalescent plasma","3 scripts were used to analyze and visualize genomic diversity of viruses used in this study. The vcf2matrix.py extracts the reference and alternate allele frequency calls from VCF filtered for site quality and depth converting the verbose VCF into a simple matrix. The ratio.py script simply iterates over each site’s reference and alternate allele quantification and calculates a ratio of these values. The variant_plot.R script takes the ratio.py matrix and plots the frequency ratios represented as a heatmap. All three scripts are intended for specialized use in this manuscript but can be adopted to any VCF if used in the same order as described above.","https://github.com/Pekosz-Lab/Wouters_2024_CHLA"
