"","full_affiliation","clean_name"
"290","Outcomes After Critical Illness and Surgery Group, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"291","Cleveland Clinic, Department of Medicine, Cleveland, OH, USA",NA
"292","Department of Internal Medicine, Yale School of Medicine, Yale University, New Haven, CT, USA","Yale University"
"293","Outcomes After Critical Illness and Surgery Group, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"294","Outcomes After Critical Illness and Surgery Group, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"295","Outcomes After Critical Illness and Surgery Group, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"296","Medical Intensive Care Unit, Johns Hopkins Hospital, Baltimore, MD, USA","Johns Hopkins University"
"297","Outcomes After Critical Illness and Surgery Group, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"298","Division of Pulmonary and Critical Care Medicine, School of Medicine; Department of Epidemiology, School of Public Health, John Hopkins University, Baltimore, MD","John Hopkins University"
"299","Outcomes After Critical Illness and Surgery Group, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"300","Medical Intensive Care Unit, Johns Hopkins Hospital, Baltimore, MD, USA","Johns Hopkins University"
"301","Outcomes After Critical Illness and Surgery Group, Division of Pulmonary and Critical Care Medicine, Department of Physical Medicine and Rehabilitation, School of Medicine, John Hopkins University, Baltimore, MD, USA.","John Hopkins University"
"302","Center for Sustainability and the Global Environment (SAGE), University of Wisconsin-Madison, Madison, WI, USA","University of Wisconsin-Madison"
"303","Center for Sustainability and the Global Environment (SAGE), University of Wisconsin-Madison, Madison, WI, USA","University of Wisconsin-Madison"
"304","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"305","Center for Environment and Development, Addis Ababa University, Addis Ababa, Ethiopia","Addis Ababa University"
"306","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"307","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"308","Department of Mechanical Engineering, University of Maryland, Baltimore County,,, Baltimore, MD, USA","University of Maryland"
"309","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"310","Department of Pediatrics, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"311","Department of Mental Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"312","Department of Surgery, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"313","Department of Surgery, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"314","Department of Surgery, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"315","Department of Pediatrics, Johns Hopkins University School of Medicine, Baltimore, MD, USA","Johns Hopkins University"
"316","Department of Physiology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"317","Department of Atmospheric and Oceanic Sciences, University of California, Los Angles, CA, USA","University of California"
"318","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"319","Division of General Internal Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"320","Department of Health Policy and Management, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"321","Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"322","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"323","School of Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"324","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"325","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"326","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"327","School of Oceanography, University of Washington, Seattle, WA, USA","University of Washington"
"328","Division of Pulmonary and Critical Care Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"329","Division of Pulmonary and Critical Care Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"330","Department of Internal Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"331","Division of Pulmonary and Critical Care Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"332","Division of Pulmonary, Allergy, and Critical Care Medicine, University of Pennsylvania, Philadelphia, PA, USA","University of Pennsylvania"
"333","Division of Pulmonary and Critical Care Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"334","Department of Environmental Health and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"335","U.S. Geological Survey, MD-DE-DC Water Science Center, Baltimore, MD, USA",NA
"336","Arcadis U.S. Inc., Hanover, MD, USA",NA
"337","Geosyntec Consultants, Columbia, MD, USA",NA
"338","Department of Environmental Health and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"339","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"340","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"341","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"342","LATMOS (Laboratoire Atmosphères, Milieux, Observations Spatiales), Guyancourt, France",NA
"343","Lunar and Planetary Laboratory, University of Arizona, Tucson, AZ, USA","University of Arizona"
"344","Lunar and Planetary Laboratory, University of Arizona, Tucson, AZ, USA","University of Arizona"
"345","NASA Goddard Space Flight Center, Greenbelt, MD, USA",NA
"346","Johns Hopkins University, Materials Science and Engineering","Johns Hopkins University"
"347","University of Virginia, Mechanical and Aerospace Engineering","University of Virginia"
"348","Chinese Academy of Sciences, Shanghai Institute of Ceramics, State Key Laboratory of High Performance Ceramics and Superfine Microstructures","Shanghai Institute of Ceramics"
"349","Chinese Academy of Sciences, Shanghai Institute of Ceramics, State Key Laboratory of High Performance Ceramics and Superfine Microstructures","Shanghai Institute of Ceramics"
"350","Chinese Academy of Sciences, Shanghai Institute of Ceramics, State Key Laboratory of High Performance Ceramics and Superfine Microstructures","Shanghai Institute of Ceramics"
"351","University of Virginia, Mechanical and Aerospace Engineering","University of Virginia"
"352","Chinese Academy of Sciences, Shanghai Institute of Ceramics, State Key Laboratory of High Performance Ceramics and Superfine Microstructures","Shanghai Institute of Ceramics"
"353","Johns Hopkins University, Materials Science and Engineering","Johns Hopkins University"
"354","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"355","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"356","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"357","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"358","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"359","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"360","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"361","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, Maryland, USA","Johns Hopkins University"
"362","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, Maryland, USA","Johns Hopkins University"
"363","Physics and Astronomy, Johns Hopkins University","Johns Hopkins University"
"364","Materials Science and Engineering, Johns Hopkins University","Johns Hopkins University"
"365","Materials Science and Engineering and Dept. of Chemistry, Johns Hopkins University","Johns Hopkins University"
"366","Physics and Astronomy, Johns Hopkins University","Johns Hopkins University"
"367","Department of Political Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"368","Department of Economic History and International Relations, Stockholm University, Stockholm, SE","Stockholm University"
"369","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"370","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"371","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"372","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"373","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"374","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"375","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"376","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"377","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"378","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"379","Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"380","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"381","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"382","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"383","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA; Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"384","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA; Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"385","Department of Psychiatry and Behavioral Health, Ann and Robert H. Lurie Children's Hospital of Chicago, Chicago, IL, USA; Department of Psychiatry and Behavioral Sciences, Northwestern University, Chicago, IL, USA","Northwestern University"
"386","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA; Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"387","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"388","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"389","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"390","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"391","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"392","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"393","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"394","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"395","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"396","Department of Polymer Science and Engineering, University of Massachusetts, Amherst, MA, USA; Materials Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA, USA","University of Massachusetts"
"397","Department of Materials Science and Engineering and Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"398","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"399","Department of Polymer Science and Engineering, University of Massachusetts, Amherst, MA, USA; Materials Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA, USA","University of Massachusetts"
"400","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"401","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"402","Department of Mechanical and Aerospace Engineering, University of Virginia, Charlottesville, VA, USA","University of Virginia"
"403","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"404","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"405","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"406","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"407","Department of Mechanical and Aerospace Engineering, University of Virginia, Charlottesville, VA, USA","University of Virginia"
"408","Department of Mechanical and Aerospace Engineering, University of Virginia, Charlottesville, VA, USA","University of Virginia"
"409","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"410","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"411","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"412","Neuromedical Control Systems Laboratory, Institute for Computational Medicine, Department                                         of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","Institute for Computational Medicine"
"413","U1077 INSERM-EPHE-UNICAEN, Caen, France",NA
"414","Institute for Computational Medicine, Biomedical Engineering Department, Johns Hopkins University, Baltimore, MD, USA","Institute for Computational Medicine"
"415","Department of Psychological and Brain Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"416","Department of Materials Science and Engineering and Department of Chemistry, Johns Hopkins University, Baltimore, Maryland, USA","Johns Hopkins University"
"417","Department of Materials Science and Engineering and Department of Chemistry, Johns Hopkins University, Baltimore, Maryland, USA","Johns Hopkins University"
"418","Department of Materials Science and Engineering and Department of Chemistry, Johns Hopkins University, Baltimore, Maryland, USA","Johns Hopkins University"
"419",NA,NA
"420","Department of Materials Science and Engineering and Department of Chemistry, Johns Hopkins University, Baltimore, Maryland, USA","Johns Hopkins University"
"421","Department of Materials Science and Engineering and Department of Chemistry, Johns Hopkins University, Baltimore, Maryland, USA","Johns Hopkins University"
"422","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, Maryland, USA","Johns Hopkins University"
"423","Department of Materials Science and Engineering and Department of Chemistry, Johns Hopkins University, Baltimore, Maryland, USA","Johns Hopkins University"
"424","Department of Materials Science and Engineering and Department of Chemistry, Johns Hopkins University, Baltimore, Maryland, USA","Johns Hopkins University"
"425","Zanvyl Krieger Mind/Brain Institute, Johns Hopkins University, Baltimore, Maryland, USA","Zanvyl Krieger Mind/Brain Institute"
"426","Zanvyl Krieger Mind/Brain Institute, Johns Hopkins University, Baltimore, Maryland, USA","Zanvyl Krieger Mind/Brain Institute"
"427","Zanvyl Krieger Mind/Brain Institute, Johns Hopkins University, Baltimore, Maryland, USA","Zanvyl Krieger Mind/Brain Institute"
"428","Zanvyl Krieger Mind/Brain Institute, Johns Hopkins University, Baltimore, Maryland, USA","Zanvyl Krieger Mind/Brain Institute"
"429","Zanvyl Krieger Mind/Brain Institute, Johns Hopkins University, Baltimore, Maryland, USA","Zanvyl Krieger Mind/Brain Institute"
"430","Zanvyl Krieger Mind/Brain Institute, Johns Hopkins University, Baltimore, Maryland, USA","Zanvyl Krieger Mind/Brain Institute"
"431","Department of Psychology, Tel Aviv University, Tel Aviv, Israel","Tel Aviv University"
"432","Department of Psychology, Tel Aviv University, Tel Aviv, Israel","Tel Aviv University"
"433","Department of Economics, Tel Aviv University, Tel Aviv, Israel","Tel Aviv University"
"434","Zanvyl Krieger Mind/Brain Institute, Johns Hopkins University, Baltimore, Maryland, USA","Zanvyl Krieger Mind/Brain Institute"
"435","Zanvyl Krieger Mind/Brain Institute, Johns Hopkins University, Baltimore, Maryland, USA","Zanvyl Krieger Mind/Brain Institute"
"436","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"437","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"438","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"439","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"440","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"441","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"442","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"443","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"444","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"445","Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"446","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"447","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"448","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"449","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"450","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"451","Department of Chemistry, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"452","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"453","Department of Pathology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"454","Department of Pathology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"455","Department of Pathology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"456","Department of Pathology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"457","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"458","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"459","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"460","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"461","Department of of Cardiology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"462","Department of of Cardiology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"463","Cardiovascular Center of Excellence, Louisiana State University Health Science Center, New Orleans, Louisiana, USA","Louisiana State University Health Science Center"
"464","Cardiovascular Center of Excellence, Louisiana State University Health Science Center, New Orleans, Louisiana, USA","Louisiana State University Health Science Center"
"465","Cardiovascular Center of Excellence, Louisiana State University Health Science Center, New Orleans, Louisiana, USA","Louisiana State University Health Science Center"
"466","Smidt Heart Institute, Cedars-Sinai Medical Center, Los Angeles, CA, USA","Smidt Heart Institute"
"467","Division of Cardiology, University of Texas Southwestern Medical Center, Dallas, TX, USA","University of Texas Southwestern Medical Center"
"468","Division of Cardiology, University of Texas Southwestern Medical Center, Dallas, TX, USA","University of Texas Southwestern Medical Center"
"469","Division of Cardiology, University of Texas Southwestern Medical Center, Dallas, TX, USA","University of Texas Southwestern Medical Center"
"470","Smidt Heart Institute, Cedars-Sinai Medical Center, Los Angeles, CA, USA","Smidt Heart Institute"
"471","Department of of Cardiology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"472","Deapartment of Cardiology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"473","Netherlands Institute of Neuroscience, Amsterdam, Netherlands","Netherlands Institute of Neuroscience"
"474","Department of Neuroscience, Zanvyl Krieger Mind/Brain Institute, Johns Hopkins University, Baltimore, MD, USA","Zanvyl Krieger Mind/Brain Institute"
"475","Johns Hopkins University Bloomberg School of Public Health","Johns Hopkins University"
"476","Johns Hopkins University Bloomberg School of Public Health","Johns Hopkins University"
"477","Johns Hopkins University School of Medicine","Johns Hopkins University"
"478","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"479","Department of Epidemiology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"480","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"481","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"482","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"483","Department of Global Health, George Washington University, Washington, DC, USA","George Washington University"
"484","Nepal Nutrition Intervention Project-Sarlahi, Kathmandu, Nepal",NA
"485","Center for Research and Reform in Education, School of Education, Johns Hopkins University, Baltimore, Maryland, USA","Johns Hopkins University"
"486","Center for Research and Reform in Education, School of Education, Johns Hopkins University, Baltimore, Maryland, USA","Johns Hopkins University"
"487","Department of Education, Languages, Intercultures, Literatures and Psychology, University of Florence, Florence, Italy","University of Florence"
"488","Center for Research and Reform in Education, School of Education, Johns Hopkins University, Baltimore, Maryland, USA","Johns Hopkins University"
"489","Johns Hopkins University Department of Earth and Planetary Sciences","Johns Hopkins University"
"490","Johns Hopkins University Department of Earth and Planetary Sciences","Johns Hopkins University"
"491","Virginia Polytechnic Institute and State University Department of Population Health Sciences","Virginia Polytechnic Institute and State University Department of Population Health Sciences"
"492","Virginia Polytechnic Institute and State University Department of Population Health Sciences","Virginia Polytechnic Institute and State University Department of Population Health Sciences"
"493","University of Alabama at Birmingham Division of Preventive Medicine","University of Alabama at Birmingham Division of Preventive Medicine"
"494","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"495","Department of Earth and Environmental Sciences, University of Michigan, Ann Arbor, MI, USA","University of Michigan"
"496","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"497","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"498","Materials Science and Engineering, Johns Hopkins University","Johns Hopkins University"
"499","Materials Science and Engineering, Johns Hopkins University","Johns Hopkins University"
"500","Materials Science and Engineering, Johns Hopkins University","Johns Hopkins University"
"501","Materials Science and Engineering; Chemistry, Johns Hopkins University","Johns Hopkins University"
"502","Department of Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"503","Department of Medicine, St Elizabeth Youngstown Hospital, Youngstown, OH, USA",NA
"504","Department of Biostatistics, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"505","Department of Biostatistics, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"506","Johns Hopkins University School of Medicine","Johns Hopkins University"
"507","Johns Hopkins University School of Medicine","Johns Hopkins University"
"508","Formally Johns Hopkins University","Johns Hopkins University"
"509","Division of General Internal Medicine, Johns Hopkins School of Medicine, Baltimore, MD, USA; Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, USA; Welch Center for Prevention, Epidemiology, and Clinical Research, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"510","Division of Cardiology, Johns Hopkins School of Medicine, Baltimore, MD, USA; Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, USA; Welch Center for Prevention, Epidemiology, and Clinical Research, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"511","Division of General Internal Medicine, Johns Hopkins School of Medicine, Baltimore, MD, USA; Welch Center for Prevention, Epidemiology, and Clinical Research, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"512","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"513","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"514","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"515","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"516","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"517","Department of Orthopaedic Surgery, Johns Hopkins Medicine, Baltimore, MD, USA","Johns Hopkins University"
"518","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"519","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"520","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"521","Department of Materials Science and Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"522","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"523","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"524","Department of Geography and Environmental Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"525","Department of Geography and Environmental Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"526","Department of Geography and Environmental Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"527","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"528","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"529","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"530","Department of Biological Sciences, New Jersey Institute of Technology, Newark, NJ","New Jersey Institute of Technology"
"531","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"532","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"533","International Rescue Committee, Panthou, South Sudan",NA
"534","International Rescue Committee",NA
"535","Center for Disease Control, Atlanta, GA, USA",NA
"536","Center for Disease Control, Atlanta, GA, USA",NA
"537","International Rescue Committee, Kalemie, Democratic Republic of the Congo",NA
"538","International Rescue Committee, New York, New York, USA",NA
"539","International Rescue Committee, Kalemie, Democratic Republic of the Congo",NA
"540","Department of International Health, Johns Hopkins University, Baltimore, Maryland, USA","Johns Hopkins University"
"541","Johns Hopkins University, Department of Neurology","Johns Hopkins University"
"542","Johns Hopkins University, Department of Neurology","Johns Hopkins University"
"543","Johns Hopkins University, Department of Neurology","Johns Hopkins University"
"544","Johns Hopkins University, Department of Neurology","Johns Hopkins University"
"545","Johns Hopkins University, Department of Neurology","Johns Hopkins University"
"546","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"547","PoSHAN Study Team, Johns Hopkins University, Kathmandu, Nepal","Johns Hopkins University"
"548","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"549","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"550","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"551","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"552","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"553","Division of Pulmonary and Critical Care Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"554","Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, USA","Johns Hopkins University"
"555","Medstar Washington Hospital, Washington, DC, USA",NA
"556","Memorial Sloan Kettering Cancer Center, New York, NY, USA",NA
"557","Division of Pulmonary and Critical Care Medicine, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"558","Massachusetts Institute of Technology and Harvard University","Massachusetts Institute of Technology and Harvard University"
"559","Johns Hopkins University and Duke University","Johns Hopkins University"
"560","Massachusetts Institute of Technology","Massachusetts Institute of Technology"
"561","Johns Hopkins University","Johns Hopkins University"
"562","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"563","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"564","Department of Vascular Surgery, HELIOS Klinikum Munchen West, Munich, Germany",NA
"565","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"566","Department of Computer Science, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"567","Department of Neuroscience, Johns Hopkins University, Baltimore, MD 21218","Johns Hopkins University"
"568","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD 21218","Johns Hopkins University"
